"Prop_ID","Playground_ID","Name","Location","Accessible","lat","lon","slug","ADA_Accessible_Comfort_Station","Sensory-Friendly"
"B001","B001","American Playground","Franklin St between Milton St and Noble St","Yes","40.7286","-73.958","null","Accessible","N"
"B007","B007-01","Bensonhurst Park Playground","Bay Pkwy & Cropsey Avenue","Yes","40.597","-73.9998","null","Not Accessible","Y"
"B008","B008-03","Imagination Playground at Betsy Head","Dumont Ave & Bristol St","Yes","40.6641","-73.9118","null","Accessible","Y"
"B012","B012-02","Brower Park Playground","Brooklyn Ave & Park Pl","Yes","40.6735","-73.9436","null","Accessible","Y"
"B012","B012-03","Brower Park Playground","St Marks Ave & Prospect Pl","Yes","40.6742","-73.9432","null","Accessible","Y"
"B016","B016-01","Maria Hernandez Park Playground","Knickerbocker St Entrance","Yes","40.7028","-73.9242","null","Not Accessible","Y"
"B017","B017","Bushwick Playground","Knickerbocker Ave between Woodbine St and Putnam Ave","Yes","40.6961","-73.9116","null","Accessible","Y"
"B018","B018-01","Joseph F. DiNapoli Playground","Seaview Ave & E. 92 St","Yes","40.6309","-73.8928","null","Not Accessible","Y"
"B018","B018-02","Canarsie Playground","Seaview Ave & Paerdegat Ave N","Yes","40.6268","-73.8995","null","Not Accessible","Y"
"B019","B019","Carroll Park Playground","Court St, Smith St, between Carroll St and President St","Yes","40.6809","-73.995","null","NotAccessible","Y"
"B021","B021-01","Commodore Barry Park Playground","Nassau St, Flushing Ave, Navy St, N. Elliot Pl","Yes","40.6977","-73.9787","null","Accessible","Y"
"B022","B022","Sarah J.S. Tompkins Garnet Playground","Lynch St, Middleton St between Lee Ave and Bedford Ave","Yes","40.7006","-73.9556","null","No","N"
"B023","B023","Lafayette Playground","Lafayette Ave between Malcolm X Blvd and Patch Ave","Yes","40.6926","-73.9302","null","No","N"
"B025","B025-01","Carnegie Playground","Sharon & Olive Sts, Morgan Ave","Yes","40.716","-73.9374","null","Not Accessible","Y"
"B026","B026","Cuyler Gore Park Playground","Carlton Ave, Fulton St, Green Ave","Yes","40.6856","-73.9719","null","No","Y"
"B028","B028-01","Bay 8 Playground","Cropsey Ave & Bay 8th St","Yes","40.6068","-74.0162","null","No","Y"
"B028","B028-03","Dyker Playground","14 Ave & 86 St","Yes","40.6129","-74.0127","null","Accessible","N"
"B032","B032-01","Fort Greene Playground","Myrtle Ave & St Edwards Plaza","Yes","40.6924","-73.977","null","Accessible","Y"
"B032","B032-02","Fort Greene Park Playground","DeKalb Ave & Washington Pk","Yes","40.6903","-73.9737","null","Accessible","Y"
